서울특별시,서울,11B10101
부산광역시,부산,11H20201
대구광역시,군위,11H10603
대구광역시,대구,11H10701
인천광역시,강화,11B20101
인천광역시,백령도,11A00101
인천광역시,인천,11B20201
광주광역시,광주,11F20501
대전광역시,대전,11C20401
울산광역시,울산,11H20101
세종특별자치시,세종,11C20404
경기도,가평,11B20404
경기도,고양,11B20302
경기도,과천,11B10102
경기도,광명,11B10103
경기도,광주,11B20702
경기도,구리,11B20501
경기도,군포,11B20610
경기도,김포,11B20102
경기도,남양주,11B20502
경기도,동두천,11B20401
경기도,부천,11B20204
경기도,성남,11B20605
경기도,수원,11B20601
경기도,시흥,11B20202
경기도,안산,11B20203
경기도,안성,11B20611
경기도,안양,11B20602
경기도,양주,11B20304
경기도,양평,11B20503
경기도,여주,11B20703
경기도,연천,11B20402
경기도,오산,11B20603
경기도,용인,11B20612
경기도,의왕,11B20609
경기도,의정부,11B20301
경기도,이천,11B20701
경기도,파주,11B20305
경기도,평택,11B20606
경기도,포천,11B20403
경기도,하남,11B20504
경기도,화성,11B20604
강원특별자치도,강릉,11D20501
강원특별자치도,고성,11D20402
강원특별자치도,대관령,11D20201
강원특별자치도,동해,11D20601
강원특별자치도,삼척,11D20602
강원특별자치도,속초,11D20401
강원특별자치도,양구,11D10202
강원특별자치도,양양,11D20403
강원특별자치도,영월,11D10501
강원특별자치도,원주,11D10401
강원특별자치도,인제,11D10201
강원특별자치도,정선,11D10502
강원특별자치도,철원,11D10101
강원특별자치도,춘천,11D10301
강원특별자치도,태백,11D20301
강원특별자치도,평창,11D10503
강원특별자치도,홍천,11D10302
강원특별자치도,화천,11D10102
강원특별자치도,횡성,11D10402
충청북도,괴산,11C10303
충청북도,단양,11C10202
충청북도,보은,11C10302
충청북도,영동,11C10402
충청북도,옥천,11C10403
충청북도,음성,11C10103
충청북도,제천,11C10201
충청북도,증평,11C10304
충청북도,진천,11C10102
충청북도,청주,11C10301
충청북도,추풍령,11C10401
충청북도,충주,11C10101
충청남도,계룡,11C20403
충청남도,공주,11C20402
충청남도,금산,11C20601
충청남도,논산,11C20602
충청남도,당진,11C20103
충청남도,보령,11C20201
충청남도,부여,11C20501
충청남도,서산,11C20101
충청남도,서천,11C20202
충청남도,아산,11C20302
충청남도,예산,11C20303
충청남도,천안,11C20301
충청남도,청양,11C20502
충청남도,태안,11C20102
충청남도,홍성,11C20104
전북특별자치도,고창,21F10601
전북특별자치도,군산,21F10501
전북특별자치도,김제,21F10502
전북특별자치도,남원,11F10401
전북특별자치도,무주,11F10302
전북특별자치도,부안,21F10602
전북특별자치도,순창,11F10403
전북특별자치도,완주,11F10204
전북특별자치도,익산,11F10202
전북특별자치도,임실,11F10402
전북특별자치도,장수,11F10301
전북특별자치도,전주,11F10201
전북특별자치도,정읍,11F10203
전북특별자치도,진안,11F10303
전라남도,강진,11F20303
전라남도,고흥,11F20403
전라남도,곡성,11F20602
전라남도,광양,11F20402
전라남도,구례,11F20601
전라남도,나주,11F20503
전라남도,담양,11F20504
전라남도,목포,21F20801
전라남도,무안,21F20804
전라남도,보성,11F20404
전라남도,순천,11F20603
전라남도,신안,21F20803
전라남도,여수,11F20401
전라남도,영광,21F20102
전라남도,영암,21F20802
전라남도,완도,11F20301
전라남도,장성,11F20502
전라남도,장흥,11F20304
전라남도,진도,21F20201
전라남도,함평,21F20101
전라남도,해남,11F20302
전라남도,화순,11F20505
전라남도,흑산도,11F20701
경상북도,경산,11H10703
경상북도,경주,11H10202
경상북도,고령,11H10604
경상북도,구미,11H10602
경상북도,김천,11H10601
경상북도,독도,11E00102
경상북도,문경,11H10301
경상북도,봉화,11H10402
경상북도,상주,11H10302
경상북도,성주,11H10605
경상북도,안동,11H10501
경상북도,영덕,11H10102
경상북도,영양,11H10403
경상북도,영주,11H10401
경상북도,영천,11H10702
경상북도,예천,11H10303
경상북도,울릉도,11E00101
경상북도,울진,11H10101
경상북도,의성,11H10502
경상북도,청도,11H10704
경상북도,청송,11H10503
경상북도,칠곡,11H10705
경상북도,포항,11H10201
경상남도,거제,11H20403
경상남도,거창,11H20502
경상남도,고성,11H20404
경상남도,김해,11H20304
경상남도,남해,11H20405
경상남도,밀양,11H20601
경상남도,사천,11H20402
경상남도,산청,11H20703
경상남도,양산,11H20102
경상남도,의령,11H20602
경상남도,진주,11H20701
경상남도,창녕,11H20604
경상남도,창원,11H20301
경상남도,통영,11H20401
경상남도,하동,11H20704
경상남도,함안,11H20603
경상남도,함양,11H20501
경상남도,합천,11H20503
제주특별자치도,고산,11G00501
제주특별자치도,서귀포,11G00401
제주특별자치도,성산,11G00101
제주특별자치도,성판악,11G00302
제주특별자치도,이어도,11G00601
제주특별자치도,제주,11G00201
제주특별자치도,추자도,11G00800
